student.label,game.score,coast,game.scheduled,percent.training.sessions.attended,overall.fitness.score,X..extra.strategy.sessions.attended,hours.of.sleep.the.night.before.game,early.bird.night.owl,previous.competitive.sports,X..meals.on.day.prior.to.game,university.year,game.number
162,55.38,east coast,evening,0.85,0.29,10,9,night owl,football,3,sophomore,1
163,50.34,east coast,evening,0.78,0.54,5,0,night owl,frisbee,4,frosh,1
164,23.92,east coast,evening,0.39,0.49,5,9,night owl,table tennis,3,sophomore,1
165,16.17,east coast,evening,0.5,0.09,4,0,night owl,curling,5,frosh,1
166,50.22,east coast,evening,0.61,0.54,8,9,night owl,gymnastics,3,senior,1
167,13.78,east coast,evening,0.24,0.35,4,6,night owl,table tennis,3,frosh,1
168,22.82,east coast,evening,0.08,0.19,4,2,early bird,martial arts,2,junior,1
169,19.99,east coast,evening,0.15,0.25,3,5,early bird,gymnastics,3,senior,1
170,47.43,east coast,evening,0.78,0.86,7,11,early bird,curling,5,junior,1
171,23.71,east coast,evening,0.34,0.24,5,2,night owl,frisbee,3,frosh,1
172,30.28,east coast,evening,0.24,0.9,1,8,night owl,martial arts,3,junior,1
173,27.31,east coast,evening,0.57,0.52,6,6,night owl,football,3,senior,1
174,22.6,east coast,evening,0.25,0.91,1,11,night owl,frisbee,4,sophomore,1
175,11.06,east coast,evening,0.46,0.11,6,1,early bird,football,4,sophomore,1
176,49.99,east coast,evening,0.92,0.73,4,9,night owl,curling,5,frosh,1
177,17.72,east coast,evening,0.4,0.42,3,3,early bird,martial arts,4,sophomore,1
178,31.9,east coast,evening,0.37,0.77,2,9,night owl,curling,4,senior,1
179,15.53,east coast,evening,0.01,0.37,0,6,night owl,table tennis,3,junior,1
180,68.71,east coast,evening,0.92,0.96,2,8,night owl,frisbee,7,sophomore,1
181,0,east coast,noon,0.09,0.14,4,8,night owl,football,2,sophomore,1
182,35.04,east coast,noon,0.75,0.69,6,7,early bird,baseball,6,junior,1
183,38.25,east coast,noon,0.49,0.87,6,7,night owl,frisbee,3,senior,1
184,26.12,east coast,noon,0.59,0.15,9,10,night owl,football,3,junior,1
185,42.62,east coast,noon,0.68,0.4,8,9,night owl,martial arts,3,junior,1
186,0,east coast,noon,0.18,0.09,5,4,night owl,curling,3,junior,1
187,5.12,east coast,noon,0.02,0.72,1,3,night owl,basketball,1,junior,1
188,11.46,east coast,noon,0.72,0.05,7,1,night owl,curling,5,frosh,1
189,6.67,east coast,noon,0.26,0.03,4,3,night owl,baseball,5,frosh,1
190,40.19,east coast,noon,0.86,0.78,6,9,night owl,curling,6,junior,1
191,42.75,east coast,morning,0.73,0.84,1,2,night owl,table tennis,6,junior,1
192,28.65,east coast,morning,0.39,0.96,0,7,night owl,frisbee,6,junior,1
193,22.22,east coast,morning,0.58,0.47,7,5,night owl,football,2,senior,1
194,43.68,east coast,morning,0.4,0.79,5,8,early bird,table tennis,2,senior,1
195,23.65,east coast,morning,0.57,0.47,2,7,night owl,football,5,sophomore,1
196,50.81,east coast,morning,0.51,0.96,4,11,night owl,martial arts,3,senior,1
197,41.96,east coast,morning,0.61,0.9,7,12,night owl,table tennis,4,junior,1
198,27.68,east coast,morning,0.11,0.3,2,5,night owl,table tennis,3,sophomore,1
199,22.9,east coast,morning,0.72,0.08,6,0,night owl,football,6,sophomore,1
200,17.08,east coast,morning,0.13,0.14,4,5,night owl,football,2,sophomore,1
201,73.12,east coast,evening,0.92,0.96,8,12,early bird,frisbee,5,senior,1
202,65.97,east coast,evening,0.88,0.62,9,8,night owl,martial arts,4,junior,1
203,42.18,east coast,evening,0.72,0.19,8,1,night owl,table tennis,5,frosh,1
204,61.84,east coast,evening,0.82,0.87,4,1,night owl,martial arts,4,sophomore,1
205,27.53,east coast,evening,0.13,0.22,5,7,night owl,table tennis,3,sophomore,1
206,57.18,east coast,evening,0.93,0.14,8,5,night owl,gymnastics,4,junior,1
207,45.57,east coast,evening,0.75,0.03,9,7,night owl,gymnastics,6,frosh,1
208,16,east coast,evening,0.24,0.2,4,10,night owl,curling,4,frosh,1
209,35.05,east coast,evening,0.5,0.51,2,2,night owl,football,5,junior,1
210,21.37,east coast,evening,0.28,0.17,5,2,night owl,table tennis,3,sophomore,1
211,55.65,east coast,morning,0.71,0.98,1,1,night owl,basketball,3,senior,1
212,27.58,east coast,morning,0.25,0.64,4,3,night owl,basketball,3,sophomore,1
213,0,east coast,morning,0.07,0.16,2,8,night owl,baseball,4,frosh,1
214,0,east coast,morning,0.41,0.08,4,1,night owl,baseball,4,frosh,1
215,35.23,east coast,morning,0.18,0.89,1,7,night owl,basketball,3,sophomore,1
216,27.45,east coast,morning,0.4,0.48,6,5,night owl,table tennis,3,sophomore,1
217,16.37,east coast,morning,0.55,0.06,6,1,night owl,gymnastics,5,frosh,1
218,0,east coast,morning,0.26,0.29,2,1,night owl,baseball,4,junior,1
219,1.9,east coast,morning,0.26,0.17,4,10,night owl,curling,6,frosh,1
220,43.94,east coast,morning,0.71,0.48,8,10,night owl,baseball,3,junior,1
221,5.08,east coast,evening,0.12,0.09,0,0,night owl,baseball,3,sophomore,1
222,30.67,east coast,evening,0.39,0.17,5,4,night owl,football,3,sophomore,1
223,27.93,east coast,evening,0.18,0.03,6,0,early bird,curling,2,frosh,1
224,34.02,east coast,evening,0.15,0.73,3,11,night owl,table tennis,3,junior,1
225,44.11,east coast,evening,0.23,0.75,4,5,night owl,basketball,2,sophomore,1
226,66.12,east coast,evening,0.91,0.85,7,8,night owl,table tennis,6,junior,1
227,63.27,east coast,evening,0.79,0.88,7,12,early bird,martial arts,5,sophomore,1
228,66.07,east coast,evening,0.79,0.91,7,11,night owl,table tennis,4,senior,1
229,42.38,east coast,evening,0.62,0.45,8,6,night owl,curling,3,sophomore,1
230,0,east coast,evening,0.12,0.15,1,1,night owl,football,5,sophomore,1
231,58.34,east coast,noon,0.83,0.93,7,6,night owl,table tennis,3,senior,1
232,31.37,east coast,noon,0.72,0.55,5,11,night owl,baseball,5,junior,1
233,37.88,east coast,noon,0.87,0.29,7,11,night owl,gymnastics,5,junior,1
234,24.82,east coast,noon,0.26,0.17,2,2,night owl,football,5,sophomore,1
235,74.85,east coast,noon,0.96,0.9,9,5,night owl,basketball,5,junior,1
236,59.76,east coast,noon,0.57,0.96,4,11,night owl,frisbee,4,sophomore,1
237,47.96,east coast,noon,0.12,0.11,5,9,night owl,curling,3,sophomore,1
238,44.72,east coast,noon,0.39,0.31,9,9,night owl,curling,3,sophomore,1
239,57.87,east coast,noon,0.78,0.88,2,9,night owl,curling,4,senior,1
240,38.87,east coast,noon,0.35,0.47,3,1,night owl,martial arts,3,junior,1
241,71.38,east coast,evening,0.78,0.83,7,8,night owl,martial arts,4,junior,1
242,36.56,east coast,evening,0.21,0.28,2,5,night owl,martial arts,5,frosh,1
243,41.66,east coast,evening,0.69,0.2,9,11,night owl,football,5,sophomore,1
244,51.21,east coast,evening,0.72,0.58,8,10,night owl,football,3,junior,1
245,44.77,east coast,evening,0.24,0.2,8,10,night owl,curling,2,junior,1
246,26.62,east coast,evening,0.56,0.74,1,1,night owl,martial arts,5,frosh,1
247,49.19,east coast,evening,0.04,0.09,0,1,night owl,curling,5,frosh,1
248,40.77,east coast,evening,0.32,0.86,4,6,night owl,basketball,3,junior,1
249,52.8,east coast,evening,0.82,0.53,9,11,night owl,table tennis,5,frosh,1
250,25.62,east coast,evening,0.18,0.31,4,6,night owl,gymnastics,1,senior,1
251,22.97,east coast,evening,0.13,0.16,4,6,night owl,curling,3,sophomore,1
252,27.22,east coast,evening,0.19,0.52,2,7,night owl,baseball,3,senior,1
253,50.28,east coast,evening,0.54,0.81,4,2,early bird,frisbee,1,senior,1
254,48.2,east coast,evening,0.41,0.89,4,8,night owl,martial arts,3,senior,1
255,37.13,east coast,evening,0.38,0.28,6,6,night owl,martial arts,4,frosh,1
256,51.21,east coast,evening,0.76,0.29,9,7,night owl,table tennis,3,junior,1
257,18.53,east coast,evening,0.24,0.86,0,0,night owl,frisbee,3,senior,1
258,13.76,east coast,evening,0.39,0.38,1,0,night owl,basketball,4,sophomore,1
259,35.24,east coast,evening,0.06,0.37,1,1,night owl,martial arts,2,junior,1
260,34.92,east coast,evening,0.2,0.45,3,10,night owl,frisbee,3,junior,1
261,0,east coast,morning,0.18,0.64,3,12,night owl,curling,2,senior,1
262,56.65,east coast,morning,0.86,0.66,8,11,night owl,baseball,3,senior,1
263,37.63,east coast,morning,0.88,0.6,8,0,early bird,table tennis,5,sophomore,1
264,58.44,east coast,morning,0.69,0.88,6,9,night owl,martial arts,3,junior,1
265,18.78,east coast,morning,0.02,0.01,4,1,early bird,gymnastics,1,sophomore,1
266,25.77,east coast,morning,0.49,0.01,8,1,night owl,gymnastics,6,frosh,1
267,17.87,east coast,morning,0.57,0.5,4,9,night owl,baseball,5,sophomore,1
268,63.07,east coast,morning,0.87,0.85,9,6,night owl,table tennis,3,senior,1
269,67.87,east coast,morning,0.9,0.79,9,10,night owl,martial arts,4,sophomore,1
270,38.52,east coast,morning,0.65,0.72,4,7,night owl,curling,4,junior,1
271,48.48,east coast,evening,0.53,0.86,7,11,night owl,martial arts,3,sophomore,1
272,19.7,east coast,evening,0,0.74,0,2,night owl,basketball,3,sophomore,1
273,37.99,east coast,evening,0.98,0.3,10,4,night owl,baseball,6,sophomore,1
274,16.17,east coast,evening,0.58,0.18,7,11,night owl,gymnastics,5,sophomore,1
275,24.83,east coast,evening,0.19,0.62,5,6,night owl,martial arts,2,sophomore,1
276,20.52,east coast,evening,0.21,0.64,2,5,night owl,table tennis,2,junior,1
277,22.76,east coast,evening,0.65,0.46,2,2,night owl,curling,7,sophomore,1
278,56.4,east coast,evening,0.77,0.9,5,11,night owl,football,3,senior,1
279,31.1,east coast,evening,0.62,0.35,7,5,early bird,frisbee,4,sophomore,1
280,62.94,east coast,evening,0.75,0.78,9,10,night owl,frisbee,3,senior,1
281,39.1,west coast,evening,0.52,0.28,7,4,night owl,curling,4,frosh,1
282,34.49,west coast,evening,0.15,0.68,2,3,night owl,basketball,3,junior,1
283,45.1,west coast,evening,0.61,0.4,7,9,early bird,curling,3,senior,1
284,44.07,west coast,evening,0.98,0.65,5,6,night owl,curling,6,frosh,1
285,47.52,west coast,evening,0.39,0.81,1,8,night owl,basketball,3,junior,1
286,61.62,west coast,evening,0.93,0.81,5,8,night owl,football,6,senior,1
287,64.51,west coast,evening,0.88,0.73,6,2,night owl,frisbee,5,frosh,1
288,46.6,west coast,evening,0.47,0.75,2,2,night owl,table tennis,4,junior,1
289,54.78,west coast,evening,0.68,0.62,6,10,night owl,frisbee,5,frosh,1
290,25.31,west coast,evening,0.12,0.84,0,1,night owl,basketball,3,sophomore,1
291,22.48,west coast,morning,0.5,0.79,1,9,night owl,table tennis,4,senior,1
292,21.92,west coast,morning,0.28,0.17,6,5,night owl,baseball,2,junior,1
293,60.83,west coast,morning,0.94,0.87,6,4,early bird,football,4,senior,1
294,23.91,west coast,morning,0.51,0.27,5,7,night owl,baseball,6,sophomore,1
295,40.31,west coast,morning,0.98,0.65,8,6,night owl,baseball,5,senior,1
296,27.92,west coast,morning,0.43,0.82,3,8,night owl,martial arts,4,junior,1
297,15.52,west coast,morning,0.11,0.74,1,11,early bird,frisbee,4,sophomore,1
298,55.13,west coast,morning,0.9,0.35,8,3,early bird,martial arts,7,frosh,1
299,41.31,west coast,morning,0.78,0.67,5,7,night owl,football,7,sophomore,1
300,47.41,west coast,morning,0.8,0.21,8,0,early bird,baseball,4,junior,1
301,0,west coast,noon,0.37,0.44,2,7,night owl,football,6,sophomore,1
302,0,west coast,noon,0.16,0.18,2,1,early bird,curling,2,junior,1
303,0,west coast,noon,0.05,0.12,2,0,early bird,frisbee,3,frosh,1
304,29.04,west coast,noon,0.42,0.52,5,5,night owl,frisbee,3,junior,1
305,41.24,west coast,noon,0.94,0.81,7,7,night owl,curling,7,junior,1
306,9.99,west coast,noon,0.54,0.39,4,7,night owl,baseball,6,frosh,1
307,0,west coast,noon,0.15,0.14,3,2,night owl,gymnastics,4,sophomore,1
308,7.19,west coast,noon,0.2,0.39,3,6,early bird,frisbee,3,junior,1
309,33.22,west coast,noon,0.8,0.71,6,5,night owl,curling,5,junior,1
310,15.01,west coast,noon,0.33,0.7,6,12,early bird,football,2,senior,1
311,34.43,west coast,noon,0.1,0.11,2,6,night owl,baseball,4,junior,1
312,29.45,west coast,noon,0.36,0.79,1,2,night owl,martial arts,4,junior,1
313,33.37,west coast,noon,0.33,0.47,1,11,night owl,martial arts,5,frosh,1
314,53.56,west coast,noon,0.13,0.08,5,4,night owl,curling,2,sophomore,1
315,42.98,west coast,noon,0.55,0.52,4,3,night owl,frisbee,4,sophomore,1
316,41.97,west coast,noon,0.55,0.19,5,2,night owl,football,4,sophomore,1
317,31.11,west coast,noon,0.29,0.42,4,6,night owl,table tennis,3,junior,1
318,47.74,west coast,noon,0.84,0.32,5,6,night owl,baseball,5,frosh,1
319,7.97,west coast,noon,0.12,0.59,1,2,night owl,martial arts,3,sophomore,1
320,57.17,west coast,noon,0.95,0.75,8,3,early bird,frisbee,7,frosh,1
321,48.34,west coast,evening,0.53,0.4,8,4,night owl,basketball,3,frosh,1
322,33.1,west coast,evening,0.42,0.35,4,3,night owl,baseball,4,junior,1
323,27.28,west coast,evening,0.03,0.16,6,12,night owl,table tennis,2,frosh,1
324,48.67,west coast,evening,0.57,0.69,6,11,night owl,table tennis,3,junior,1
325,49.72,west coast,evening,0.46,0.77,6,9,night owl,frisbee,4,frosh,1
326,62.23,west coast,evening,0.89,0.54,8,9,night owl,baseball,4,sophomore,1
327,30.34,west coast,evening,0.48,0.5,7,10,early bird,table tennis,5,sophomore,1
328,16.44,west coast,evening,0.04,0.15,3,8,night owl,football,3,sophomore,1
329,69.74,west coast,evening,0.85,0.97,5,8,night owl,football,3,senior,1
330,59.36,west coast,evening,0.83,0.84,7,10,night owl,football,3,senior,1
331,52.7,west coast,noon,0.85,0.3,10,12,night owl,gymnastics,3,sophomore,1
332,47.68,west coast,noon,0.52,0.92,5,8,night owl,basketball,3,junior,1
333,14.34,west coast,noon,0.36,0.35,4,6,early bird,gymnastics,4,junior,1
334,56.26,west coast,noon,0.86,0.57,9,10,early bird,martial arts,4,sophomore,1
335,7.88,west coast,noon,0.12,0.02,6,4,night owl,gymnastics,4,frosh,1
336,40.78,west coast,noon,0.44,0.53,8,11,night owl,curling,2,sophomore,1
337,8.67,west coast,noon,0.1,0.04,2,3,night owl,baseball,5,frosh,1
